order_id,email,location,orders,lastOrder,spent,refunds
QL0W7GCI3Z,brandon52@taylor.info,Dalemouth,1,20-12-1980,592.94,4
26LR9OA31Z,eric87@gmail.com,North Leonardchester,6,07-05-2024,594.58,3
YJ05M0RTIH,william40@hotmail.com,Toddport,7,30-01-1981,532.29,1
P5T4NBGYRV,katiejohnson@yahoo.com,East Eduardo,12,14-10-2003,816.74,2
HN0A6D8X90,jonathandixon@brown.com,Johnnyton,4,09-12-2010,700.78,0
YY79ZV7JC1,tracyrios@berry-callahan.com,Thomaschester,4,05-06-1978,181.74,2
JQB9QNB91T,chase34@scott.com,Lake Thomas,15,02-07-2000,592.5,0
XNA10VRWTB,lewisstephanie@glass-gallegos.org,Robinville,17,07-03-2010,775.4,4
9HN8CJI7RD,williampatterson@hotmail.com,West Jesse,12,25-01-2005,105.95,5
5AONX2DX84,cmorgan@nash.info,Brooksport,4,20-09-1972,967.43,4
